Neighborhood,Date,Rent,permits_trailing6,employment_growth,median_income,renter_rate,covid,month,rent_lag1,rent_lag12,rent_yoy_growth
Los Feliz,2020-07-31,2228.1280596800516,215.0,-0.5711252265280353,71651.0,0.8043,1,7,2241.7397150073,2247.2535048153804,-0.8510586408852938
Los Feliz,2020-08-31,2218.9691086147877,196.0,0.5744058029714338,71651.0,0.8043,1,8,2228.1280596800516,2241.3320910451525,-0.9977540820350628
Los Feliz,2020-09-30,2216.9455275110677,196.0,1.3985245931648072,71651.0,0.8043,1,9,2218.9691086147877,2237.021977762185,-0.8974632547508965
Los Feliz,2020-10-31,2219.1739905836253,244.0,2.83790370624446,71651.0,0.8043,1,10,2216.9455275110677,2221.380501521458,-0.09933061608857763
Los Feliz,2020-11-30,2214.8423136900583,258.0,1.1357851312209233,71651.0,0.8043,1,11,2219.1739905836253,2219.0799267267976,-0.19096261408618753
Los Feliz,2020-12-31,2198.6629865476207,273.0,-0.7984447684510121,71651.0,0.8043,1,12,2214.8423136900583,2223.636711086735,-1.1231027269247185
Los Feliz,2021-01-31,2193.0016138064184,267.0,-2.9640257558790517,78356.0,0.7974,1,1,2198.6629865476207,2260.64127385863,-2.992056317575731
Los Feliz,2021-02-28,2194.3168507663277,269.0,2.232319953838946,78356.0,0.7974,1,2,2193.0016138064184,2286.490661045879,-4.031234933511141
Los Feliz,2021-03-31,2185.875863546033,282.0,0.9489205587695616,78356.0,0.7974,1,3,2194.3168507663277,2261.5048091946032,-3.3441868149510667
Los Feliz,2021-04-30,2187.461904522432,253.0,1.450186951811849,78356.0,0.7974,1,4,2185.875863546033,2247.432225478008,-2.6683928563327797
Los Feliz,2021-05-31,2197.919379547258,262.0,0.9334527418021654,78356.0,0.7974,1,5,2187.461904522432,2237.8115352643795,-1.7826414373366184
Los Feliz,2021-06-30,2216.493190480171,264.0,0.0238883390778932,78356.0,0.7974,1,6,2197.919379547258,2241.7397150073,-1.1262023132354138
Los Feliz,2021-07-31,2246.0943773228028,285.0,0.4861821903787033,78356.0,0.7974,0,7,2216.493190480171,2228.1280596800516,0.8063413395247521
Los Feliz,2021-08-31,2274.229296357186,312.0,1.0474492827434068,78356.0,0.7974,0,8,2246.0943773228028,2218.9691086147877,2.490354080543944
Los Feliz,2021-09-30,2329.932369745539,323.0,-0.0151204596619658,78356.0,0.7974,0,9,2274.229296357186,2216.9455275110677,5.096509626978518
Los Feliz,2021-10-31,2346.512233322047,346.0,2.619595718582479,78356.0,0.7974,0,10,2329.932369745539,2219.1739905836253,5.738091888186414
Los Feliz,2021-11-30,2384.84228097769,336.0,0.9758973015457252,78356.0,0.7974,0,11,2346.512233322047,2214.8423136900583,7.675488509355843
Los Feliz,2021-12-31,2411.6984631507544,324.0,0.1962119737951573,78356.0,0.7974,0,12,2384.84228097769,2198.6629865476207,9.689319277514464
Los Feliz,2022-01-31,2445.2074743380053,296.0,-2.264157050607707,86826.0,0.7908,0,1,2411.6984631507544,2193.0016138064184,11.500486773187113
Los Feliz,2022-02-28,2442.5090709039737,296.0,1.5731081304851902,86826.0,0.7908,0,2,2445.2074743380053,2194.3168507663277,11.31068286929342
Los Feliz,2022-03-31,2429.031241595342,284.0,0.283664819041407,86826.0,0.7908,0,3,2442.5090709039737,2185.875863546033,11.123933527261265
Los Feliz,2022-04-30,2440.963636036193,271.0,0.6047403843027821,86826.0,0.7908,0,4,2429.031241595342,2187.461904522432,11.588852404225314
Los Feliz,2022-05-31,2483.458872143071,279.0,0.252076398539236,86826.0,0.7908,0,5,2440.963636036193,2197.919379547258,12.991354244059238
Los Feliz,2022-06-30,2513.4673898701467,306.0,-0.1128267947519412,86826.0,0.7908,0,6,2483.458872143071,2216.493190480171,13.398380859705705
Los Feliz,2022-07-31,2550.704848959063,316.0,-0.4437487897760328,86826.0,0.7908,0,7,2513.4673898701467,2246.0943773228028,13.561784166849478
Los Feliz,2022-08-31,2558.682352194248,329.0,0.3338898163605996,86826.0,0.7908,0,8,2550.704848959063,2274.229296357186,12.507668258987481
Los Feliz,2022-09-30,2565.5568318730934,326.0,0.4539359966398981,86826.0,0.7908,0,9,2558.682352194248,2329.932369745539,10.112931396085468
Los Feliz,2022-10-31,2540.7696176875575,324.0,0.8603499292422434,86826.0,0.7908,0,10,2565.5568318730934,2346.512233322047,8.278558347445419
Los Feliz,2022-11-30,2517.5514637044394,313.0,0.534128414037216,86826.0,0.7908,0,11,2540.7696176875575,2384.84228097769,5.564694310616813
Los Feliz,2022-12-31,2501.594254903753,306.0,0.0301329019570584,86826.0,0.7908,0,12,2517.5514637044394,2411.6984631507544,3.7274888683867635
Los Feliz,2023-01-31,2507.984263166673,302.0,-2.199039208536135,90532.0,0.797,0,1,2501.594254903753,2445.2074743380053,2.5673399696139576
Los Feliz,2023-02-28,2511.0169770335815,289.0,0.5495574360470767,90532.0,0.797,0,2,2507.984263166673,2442.5090709039737,2.8048168559821507
Los Feliz,2023-03-31,2555.429010714475,295.0,0.0225715437323525,90532.0,0.797,0,3,2511.0169770335815,2429.031241595342,5.203628794667847
Los Feliz,2023-04-30,2565.768516837494,286.0,0.1144441399764772,90532.0,0.797,0,4,2555.429010714475,2440.963636036193,5.112934865509433
