Neighborhood,Date,Rent,predicted_rent_xgb,predicted_rent_prophet,predicted_lstm,predicted_ensemble,residual,kalman_estimate,upper_bound,lower_bound,smoothed_std,anomaly_score,is_anomaly
Boyle Heights,2023-11-30,2273.0857350472,2048.711,2468.056214215923,2157.1935852923825,2227.5131265590708,45.57260848812939,2269.139594603364,2306.056453575546,2232.222735631182,18.458429486091152,0.21378527597224947,False
Boyle Heights,2023-12-31,2319.904648116541,2058.0562,2471.5590506616027,2158.3980886251684,2231.9110690252487,87.9935790912923,2291.771986472708,2328.688845447374,2254.8551274980414,18.45842948733323,1.5241091690870918,False
Boyle Heights,2024-01-31,2352.9453186923447,2116.7993,2261.3523252539617,2271.7268247725374,2221.980307157212,130.96501153513282,2292.657779135609,2329.574638111612,2255.740920159606,18.458429488001414,3.2661250819449923,True
Boyle Heights,2024-02-29,2290.658917838565,2075.7678,2254.8735498300102,2256.7196827839066,2202.0118271107112,88.64709072785354,2267.6095038114527,2304.5263627891463,2230.692644833759,18.45842948884688,1.2487202136320446,False
Boyle Heights,2024-03-31,2241.003201613046,2124.7705,2258.3931047308824,2241.538199162749,2212.2003294738406,28.802872139205192,2266.640644106972,2303.5575030886125,2229.7237851253317,18.45842949082013,1.3889287001793515,False
Boyle Heights,2024-04-30,2250.1397490745267,2156.258,2280.9756100882555,2229.034759207042,2224.4456945177308,25.69405455679589,2274.488613687921,2311.4054726802,2237.5717546956416,18.458429496139544,1.3191189751704178,False
Boyle Heights,2024-05-31,2284.86385688094,2164.339,2303.0156145365013,2218.5241538661385,2230.252449238707,54.61140764223319,2282.31817307657,2319.235032098141,2245.401314054999,18.45842951078536,0.1379144309922752,False
Boyle Heights,2024-06-30,2335.921582836153,2180.041,2307.5473449477095,2211.7344337621,2233.9290469708553,101.99253586529768,2287.346340913597,2324.2632000160424,2250.4294818111516,18.458429551222796,2.6316020960202446,True
Boyle Heights,2024-07-31,2292.027363389391,2189.8752,2314.263171990281,2212.233808562919,2239.273943334301,52.75342005509037,2281.2347040273075,2318.151563353133,2244.317844701482,18.45842966291271,0.5847008414763272,False
Boyle Heights,2024-08-31,2279.732460433327,2180.4292,2343.0691770385843,2218.066623167799,2248.132474510884,31.59998592244301,2275.790941622152,2312.7078015649918,2238.874081679312,18.45842997141991,0.21353488975729387,False
Boyle Heights,2024-09-30,2265.9242237048297,2208.3977,2375.6472033339437,2228.3148084703,2271.0591935426874,-5.134969837857625,2283.3760849542155,2320.2929466013684,2246.4592233070625,18.458430823576485,0.945468301543825,False
Boyle Heights,2024-10-31,2240.7826044699837,2168.9392,2389.8725997379915,2241.425890224895,2268.8223184935277,-28.039714023544093,2270.39926321972,2307.3161295745194,2233.4823968649207,18.458433177399645,1.604505563882516,False
Boyle Heights,2024-11-30,2268.9415365073587,2176.017,2390.546970586299,2257.1349472450624,2276.9814396274887,-8.03990312013002,2275.6276262852475,2312.5445056434864,2238.7107469270086,18.458439679119376,0.36222399566253877,False
Boyle Heights,2024-12-31,2296.0972780474845,2155.71,2392.936334369923,2265.115541007649,2274.6570235555973,21.440254491887117,2272.135410506509,2309.052325782775,2235.2184952302428,18.45845763813303,1.2981511238778516,False
Boyle Heights,2025-01-31,2256.6537703517706,2129.2458,2377.454559471632,2309.056766480872,2277.90822938891,-21.25445903713944,2267.9006581660815,2304.8176726548045,2230.9836436773585,18.45850724436161,0.6093064655406146,False
Boyle Heights,2025-02-28,2219.9727458349817,2116.7651,2370.1891619313064,2302.8444211174833,2269.473814647838,-49.501068812856374,2254.945814517662,2291.8631030492725,2218.028525986051,18.45864426580536,1.8946715782654224,False
Boyle Heights,2025-03-31,2289.2533351109328,2210.418,2359.566895193955,2300.8942010009937,2293.2388096946024,-3.985474583669657,2283.4119235786743,2320.3299690599397,2246.493878097409,18.459022740632715,0.31645291363315736,False
Boyle Heights,2025-04-30,2328.364566491605,2185.0974,2376.7013661577425,2300.3455103134434,2291.129214918239,37.23535157336573,2284.4632054511685,2321.3833416952616,2247.5430692070754,18.460068122046607,2.3781797947009586,True
Boyle Heights,2025-05-31,2286.5639544998494,2197.87,2406.8006091837788,2299.9295387766592,2304.7425307574586,-18.17857625760917,2289.661682670332,2326.5875933964803,2252.735771944184,18.46295536307408,0.16778073216817427,False
Boyle Heights,2025-06-30,2255.24360028516,2173.6494,2416.059150519824,2301.898754954804,2301.2913940201597,-46.047793734999686,2278.612502474498,2315.5543587630714,2241.6706461859244,18.470928144286738,1.2651720581737198,False
Boyle Heights,2025-07-31,2219.761301423922,2204.6401,2415.717654453381,2287.5337220635984,2305.1212777060464,-85.35997628212453,2281.006150706884,2317.9920160476563,2244.0202853661117,18.492932670386175,3.311797557556632,True
Boyle Heights,2025-08-31,2302.5242908749524,2224.3838,2434.1732712546277,2260.689838563161,2307.1784551385317,-4.654164263579332,2297.7758616576116,2334.883017434784,2260.668705880439,18.553577888586176,0.25593064816369676,False
Boyle Heights,2025-09-30,2316.55301210939,2211.2993,2458.9871746681615,2231.9309093204,2300.813388792888,15.73962331650182,2304.8712841716424,2342.3114263364278,2267.431142006857,18.720071082392746,0.6240215584701744,False
Boyle Heights,2025-10-31,2327.909794212803,2232.005,2466.154606744604,2221.5803774590468,2305.5378117737782,22.371982439024578,2319.9760100395733,2358.32090399069,2281.6311160884566,19.172446975558433,0.4138117674392611,False
Boyle Heights,2025-11-30,2366.2267879205283,2255.9385,2467.274830923945,2241.412202507135,2320.4109999590487,45.8157879614796,2343.137556251457,2383.8772840838446,2302.39782841907,20.369863916193744,1.1334995536902175,False
Boyle Heights,2025-12-31,2360.0496496870337,2218.1787,2484.6520243397185,2273.5632901398135,2326.7781049514274,33.27154473560631,2351.704953542078,2398.426150884017,2304.983756200139,23.36059867096946,0.35721242674117676,False
Brentwood,2022-01-31,3417.4594609709707,5499.301,3240.086801941014,3418.4356998821204,3981.583299854159,-564.1238388831885,3417.4593598936535,3419.4585589441426,3415.4601608431644,0.9995995252444394,0.00010111781125972139,False
Brentwood,2022-02-28,3426.715850623776,5538.319,3241.2677661528664,3416.0737149827573,3992.763412270116,-566.04756164634,3428.113931957023,3491.554916010712,3364.672947903334,31.72049202684452,0.04407502038817497,False
Brentwood,2022-03-31,3425.253612272422,5537.1904,3246.706925221049,3411.1738350981645,3992.408436435288,-567.1548241628661,3431.928031655192,3496.546299331904,3367.3097639784805,32.30913383835573,0.206579953956581,False
Brentwood,2022-04-30,3463.9723684750907,5563.23,3237.9705121140837,3409.443127506185,3996.6643346228993,-532.6919661478087,3462.7650314262683,3527.427025487766,3398.1030373647704,32.33099703074893,0.03734301937242213,False
Brentwood,2022-05-31,3494.8033075793333,5632.514,3228.283349700223,3413.312064104769,4015.609059839582,-520.8057522602489,3504.236742379311,3568.9003754256405,3439.573109332982,32.331816523164655,0.29176940275847163,False
Brentwood,2022-06-30,3562.110630344009,5610.09,3243.169174607835,3422.1245609465373,4017.0905084785745,-454.9798781345653,3559.921697865738,3624.5853923664636,3495.258003365013,32.33184725036278,0.06770205428238925,False
Brentwood,2022-07-31,3609.153577940744,5544.1914,3277.5252852395056,3433.210710377085,4012.852771525987,-403.69919358524294,3602.537253620257,3667.200950425269,3537.873556815245,32.33184840250602,0.20463798531010383,False
Brentwood,2022-08-31,3648.0739513314174,5547.95,3306.4018174742064,3444.454474996503,4027.687045486118,-379.6130941547008,3642.007871587525,3706.6715684789388,3577.3441746961116,32.33184844570667,0.18761932996817504,False
Brentwood,2022-09-30,3657.1852144657864,5547.7686,3326.255783833465,3451.7474411053536,4036.897341636802,-379.7121271710157,3655.4852287489443,3720.1489256435975,3590.821531854291,32.33184844732652,0.052579292491916584,False
Brentwood,2022-10-31,3638.14494956574,5473.621,3346.438360234426,3454.6108405517234,4022.462051565964,-384.31710200022417,3639.6086193809388,3704.2723162757134,3574.944922486164,32.33184844738725,0.04527021760379841,False
Brentwood,2022-11-30,3619.342156558518,5459.1006,3355.642094145715,3452.5852336906983,4020.412697566305,-401.0705410077867,3641.0328014664706,3705.6964983612497,3576.3691045716914,32.33184844738953,0.6708754971599834,False
Brentwood,2022-12-31,3631.56658478258,5460.8193,3344.1028048593025,3445.9305010845305,4014.646771098195,-383.0801863156157,3711.5754055376588,3776.239102432438,3646.9117086428796,32.33184844738962,2.4746132551166413,True
Brentwood,2023-01-31,3663.315374776227,3323.6448,3654.193602600524,3605.1524780444543,3537.20244457354,126.11293020268704,3579.101147312266,3643.7648442070454,3514.437450417487,32.33184844738962,2.604683353472582,True
Brentwood,2023-02-28,3669.1566014852183,3346.392,3686.4948598975857,3596.816837176098,3551.591380734354,117.56522075086424,3655.677283105967,3720.340980000746,3591.013586211188,32.33184844738962,0.4169052813981776,False
Brentwood,2023-03-31,3678.411271995236,3340.4692,3689.0088778963386,3590.337615423935,3548.2511076713795,130.1601643238564,3669.262020212902,3733.925717107681,3604.5983233181228,32.33184844738962,0.282979545521248,False
Brentwood,2023-04-30,3631.0616873869417,3298.504,3685.485804895394,3586.592771457903,3533.1531535910085,97.90853379593318,3640.3668130569995,3705.0305099517786,3575.7031161622203,32.33184844738962,0.287800608812116,False
Brentwood,2023-05-31,3666.67052950579,3318.6707,3703.7723782258863,3584.5777061268636,3544.4800275490097,122.19050195678028,3669.1421059538097,3733.805802848589,3604.4784090590306,32.33184844738962,0.07644401931665122,False
Brentwood,2023-06-30,3704.3195208026577,3312.0815,3736.3411635696866,3583.7859350267604,3552.981952561719,151.3375682409387,3703.39175394393,3768.055450838709,3638.7280570491507,32.33184844738962,0.02869513816850202,False
Brentwood,2023-07-31,3750.666562056793,3333.7917,3771.7045082451705,3583.790021662297,3571.162879790504,179.5036822662887,3744.205056759721,3808.8687536545003,3679.541359864942,32.33184844738962,0.19984954790281537,False
Brentwood,2023-08-31,3766.4004652794497,3344.256,3807.320193760359,3584.3292637512723,3586.263400123791,180.13706515565855,3760.2408706211577,3824.904567515937,3695.5771737263785,32.33184844738962,0.19051167663394758,False
Brentwood,2023-09-30,3754.196103937899,3384.7063,3832.4582843428966,3584.903573643516,3606.8783370489577,147.3177668889416,3761.1078044422106,3825.77150133699,3696.4441075474315,32.33184844738962,0.21377375046838784,False
Brentwood,2023-10-31,3771.66099129456,3368.3005,3834.297242854541,3585.600797852912,3602.8398016982355,168.82118959632453,3760.5300580742987,3825.193754969078,3695.8663611795196,32.33184844738962,0.344271476928728,False
